ID,TEMPOS,TRATAMENTO EM EVIDENCIA,TRATAMENTO COMPARADO,VALUE,STD.ERROR,DF,T.VALUE,P.VALUE,SIGN.
63,24,GBS21,PAS21,1.07045128814382,1.63508654526448,52,0.654675614109881,0.515562097315425,NS
64,0,GBS21,PVS21,2.76216514152232e-15,1.63508654526448,52,1.68930822011965e-15,0.999999999999999,NS
65,2,GBS21,PVS21,24.7629297354914,1.63508654526448,52,15.1447211202426,1.04611472426988e-20,*
66,4,GBS21,PVS21,46.5781242643747,1.63508654526448,52,28.4866415170951,2.12930058433434e-33,*
67,6,GBS21,PVS21,48.1123145080904,1.63508654526448,52,29.4249345072485,4.34852402188228e-34,*
68,8,GBS21,PVS21,35.3944411532307,1.63508654526448,52,21.6468304113563,1.12489575624841e-27,*
69,12,GBS21,PVS21,19.0351352017004,1.63508654526448,52,11.6416682999623,4.22352633609699e-16,*
70,16,GBS21,PVS21,21.0880544060886,1.63508654526448,52,12.8972099166027,7.891551587327e-18,*
71,20,GBS21,PVS21,5.35486943787708,1.63508654526448,52,3.27497614935785,0.00188385402591153,*
72,24,GBS21,PVS21,4.45140050400927,1.63508654526448,52,2.72242500979619,0.00879879298468922,*
